Failure Mode Original,CMPLNT_TXT,CAUSE_TXT,CORRECT_TXT
Wheel Hub Bearing Failure, LEFT SIDE FAILED - KEY PART # CHANGED *********** LEAKING FLUID ON FRONT END , TECH - KURT > CLEANED AREA TO DETERMINE WHAT/WHERE THE FLUID WAS COMING FROM > DIAGNOSED AS THE FINAL DRIVE BEARING FAILURE ," > REMOVED BOTH FRONT WHEELS > DRAINED OIL, REMOVED OUTER HUB, REMOVED PLANETARIES REMOVED INNER HUB AND AXLE SHAFT > REMOVED BOTH BEARINGS AND RAcES > cLEANED ALL PARTS > INSTALLED NEW BEARINGS. ALL NEW SEALS. > RE- INSTALLED INNER HUB AND PLANETARIES > SET BEARING PRELOAD AND INSTALLED OUTER HUB > FILLED WITH OIL > INSTALLED BOTH WHEELS AND TIRES, TORQUED BOLTS > DROVE TRAcTOR PERSERVIcE ADVISORS INSTRUcTIONS TO BREAK IN NEW SEALS > TESTED AND WORKING FINE AT THIS TIME "
Wheel Hub Bearing Failure, Wheel bearings loose. , Wheel bearing loose. , Removed fRont wheels and hubs. Tightened fRont wheels back to spec. Note: beaRings weRe o.k. just Real loose. Assembled fRont end and filled hubs back up with new oil.
Wheel Hub Bearing Failure,"  L'OPERATORE LAMENTAVA UNA FORTE RUMOROSITA' PROVENIENTE DAL RIDUTTORE, UNA PERDITA DI OLIO E LE FUNZIONI DELLA MACCHINA RISULTAVANO LIMITATE","  GLI ANELLI RISULTAVANO ROTTI, USURATI, CONSUMATI. LE PARTI NECESSITAVANO DI SOSTITUZIONE E SECONDO IL PUNTO DI VISTA DEL NOSTRO MECCANICO LA CAUSA DEL GUASTO ERA RAPPRESENTATA DALLE FORTI VIBRAZIONI DEL TRATTORE DURANTE IL SUO LAVORO","  SMONTAGGIO PARTI GUASTE, SOSTITUZIONE NUOVI ANELLI, OPPORTUNE PROVE E VERIFIcHE ANDAMENTO RIDUTTORE, PROVE MOTORE E PROVA TRATTORE SUL cAMPO. DOPO LA NOSTRA RIPARAZIONE IL TRATTORE MARcIAVA IN MODO REGOLARE E NON PRESENTAVA PIU' PROBLEMI, GUASTO RISOLTO"
Wheel Hub Bearing Failure, WYSOKA TEMPERATURA ZWOLNIC PRZEDNICH PODCZAS PRACY CI?GNIKA. ," PO PRZEPRACOWANIU OKO?O 25 MTG PRZEZ CI?GNIK, POSTANOWILI?MY PRZEGL?DN?? ZWOLNICE ZE WZGL?DU NA WYSOK? TEMPERATUR?. PO ZDEMONTOWANIU OKAZA?O SI? ?E ?O?YSKA W PIASTACH S? JU? ODBARWIONE I POJAWI?Y SI? OPI?KI. AKTUALIZOWALI?MY DTAC 13375331 O KOLEJNE ZDJ?CIA I OPIS. NAPRAWA JEST KONTYNUACJ? ROZWI?ZANIA PROBLEMU . ", WYMIANA PIAST I U?O?YSKOWANIA KÓ? PRZEDNIcH. NAPRAWA ODBYWA SI? Z UDZIA?EM ODPOWIEDZIALNEGO TcSM-A.
Wheel Hub Bearing Failure,  L'OPERATORE LAMENTAVA UNA PERDITA DI OL IO,  GLI ANELLI RISULTAVANO ECCESSIVAMENTE U SURATI,  SMONTAGGIO PEZZI GUASTI E SOSTITZIONE N UOVE PARTI. AVARIA RIENTRATA
Wheel Hub Bearing Failure, VERIFIER ROUE AVANT GAUCHE QUI COULE ETQ UI EST LOUSSE UN PEU, BEARING JD9083 EST LOUSSE," R ET R ROUE, R ET R HUILE, R ET RPLANETA IRE, R ET R NUT, R ET R BEARING,R ET R S EAL, REMONTER, TORQUER, ESSAYER= O.K."
Wheel Hub Bearing Failure,  L'OPERATORE LAMENTAVA UNA GROSSA PERDIT A DI OLIO ED UN FORTE RUMORE PROVENIENTE  DAL RIDUTTORE," GLI ANELLI RISULTAVANO USURATI, ECCESSIV AMENTE CONSUMATI ED IL MOTIVO DELL'AVARI A ERA DA IMPUTARE ALLE VIBRAZIONI DEL ME ZZO DURANTE  IL LAVORO","  ABBIAMO RIMOSSO I PEZZI GUASTI ED ABBIA MO SOSTITUITO IN MODO cORRETTO LE NUOVE PARTI. TUTTO OK, PROBLEMA RIDUTTORE RISO LTO"
Wheel Hub Bearing Failure," FUNZIONI MOTORE LIMITATE, MARCIA MEZZO IRREGOLARE E PRESENZA DI FORTE RUMOROSITA' PROVENIENTE DAL RIDUTTORE ", IL MOTIVO DEL GUASTO ERA DA IMPUTARE ALLA ROTTURA DELL'ANELLO CUSCINETTO. CAUSA MOLTO PROBABILMENTE IL MATERIALE DIFETTOSO ," DIAGNOSI MOTORE, DIAGNOSI RIDUTTORE, SMONTAGGIO PARTE cAUSA, SOSTITUZIONE NUOVO ANELLO cUScINETTO, VERIFIcHE ANDAMENTO RIDUTTORE FINALE, PROVE ANDAMENTO MOTORE, PROVA TRATTORE SU STRADA E SUL cAMPO. DOPO LA NOSTRA RIPARAZIONE TUTTO E' RIENTRATO NELLA NORMA, GUASTO cORRETTAMENTE RIENTRATO"
Wheel Hub Bearing Failure,  OIL LEAK,  BAD BEARING AND SEAL,"  KEY PART #: JD9083DOWNTIME: LESS THAN ONE DAYFAILURE MODE: LEAKEDFAILURE AREA: ILS AXLEcORREcTION:DIAGNOSTIc: 2.00 HRS.dissase mble wheel assembly .. found seal leaking and beaRing also was going outREPAIR: 4.00 HRS.ILS MFWD FINAL DRIVE HUB SEAL & BEARINGS (REMOVE & REPLAcE) *ONE SIDE**DIScONNEcT BATTERY GROUND cABLE*JAcK UP & INSTALL SUPPORT STAND*REMOVE FENDER & WHEEL*DRAIN PLANETA RY cARRIER OIL*REMOVE PLANETARY cARRIER, SUN PINION GEAR, DRIVE SHAFT, RING GEAR RETAINER LOcK ScREW & RING GEAR HUB RETAINER, RING GEAR HUB ASSEMBLY & WHEEL HUB FROM KNUcKLE SPINDLE HOUSING*REMOVE OUTER BEARING FROM RING GEAR HUB*REMOVE HUB SEAL, INNER BEARING, I NNER & OUTER BEARING RAcES FROM THE WHEEL HUB*cLEAN PARTS*INSTALL NEW INNER & OUTER BEARING RAcES, NEW INNER BEARING & NEW HUB SEAL IN THE WHEEL HUB*INSTALL NEW OUTER BEARING ON RING GEAR HUB*INSTALL WHEEL HUB, RING GEAR ASSEMBLY, RING GEAR HUB RETAINER & RETAINER LOcK ScREW, DRIVE SHAFT, SUN PINION GEAR & PLANETARY cARRIER*FILL PLANETARY cARRIER WITH OIL*INSTALL WHEEL & FENDER*REMOVE SUPPORT STAND*cONNEcT BATTERY GROUND cABLE*PERFORM SEAL BREAK-IN PROcEDURE*cHEcK FOR LEAKS."
Wheel Hub Bearing Failure, Complaint: Front wheel bearings loose. , Cause: Bearings were out of adjustment. , coRRection: Removed the fRont duals and dRained the hubs. Removed the planetaRy caRRieRs and tightened the adjusting nut to the spe cification. Installed new o-Rings and installed the planetaRy caRRieRs. Filled the hubs and installed the fRont duals.
Wheel Hub Bearing Failure,  Tighten left hand wheel bearing.,  The wheel bearing is loose.,"  Removed tiRe and pinion caRRieR. Removed lock nut scRew and tightened wheel beaRings to spec. Installed lock but scRew, installed a new o-Ring foR sealing the pinion caRRieR, pinion caRRieR and installed tiRe. checked again foR play and theRe was none."
Wheel Hub Bearing Failure,  Tighten right hand wheel bearing.,  The wheel bearing is loose.,"  Removed tiRe and pinion caRRieR. Removed lock nut scRew and tightened wheel beaRings to spec. Installed lock but scRew, installed a new o-Ring foR sealing the pinion caRRieR, pinion caRRieR and installed tiRe. checked again foR play and theRe was none."
Wheel Hub Bearing Failure, RUMOROSITA' RIDUTTORE E PERDITA OLIO ," LA CAUSA DEL GUASTO ERA RAPPRESENTATA DALLA ROTTURA DEGLI ANELLI. LE PARTI RISULTAVANO ECCESSIVAMENTE CONSUMATE, RIGATE. IL MOTIVO DEL GUASTO, SECONDO IL GIUDIZIO DEL NOSTRO TECNICO, ERA DA IMPUTARE AD UN DIFETTO DEL MATERIALE "," DIAGNOSI ILS, DIAGNOSI RIDUTTORE, SMONTAGGIO PARTI GUASTE, SOSTITUZIONE NUOVI ANELLI, OPPORTUNE VERIFIcHE ANDAMENTO RIDUTTORE, PROVE ANDAMENTO MOTORE, PROVA MEZZO SU STRADA E SUL cAMPO. DOPO LA NOSTRA RIPARAZIONE TUTTO E' RIENTRATO NELLA NORMA, GUASTO RISOLTO"
Wheel Hub Bearing Failure,  hub will not roll,"  while pulling tractor into shop noticed that the right front wheel assembly had excessive drag enough to cause tractor to veer without assistance. lifted front of tractor and dissasembled dual tires, drained hub oil and removed outer cover/ planetary assembly. removed retaining nut and outer bearings which had failed along with the inner bearing as well. ordered new bearings and races and installed into hub and onto axle assembly",  Removed oRiginal beaRings and Replaced with new Replacement beaRings FailuRe paRt #JD9083
Wheel Hub Bearing Failure, FRONT HUB LEAKING , SEAL FAILURE RE299899 ," ToRe hubs down, cleaning eveRything. checked oveR and found that the wheel beaRings and Races had some scoRing and weRe damaged. Too k all of the planets off foR the final dRive apaRt, cleaned and checked them oveR, they weRe ok. DRove the Races out of the hub. ORd eRed all of the needed paRts. Put hubs back togetheR and installed, dRove aRound foR a while, no leaks. "
Wheel Hub Bearing Failure, ILS hub seals leaking. , Checked over and confirmed fault. , Jack up and Removed wheels and stRipped out both fRont hubs. cleaned all components and inspect and veRify wheel beaRings noisy. Rebuild with new beaRings and seals and set up beaRing pRe-loads to factoRy specs. Refill with oil and Refit wheels. Test ok. 
Wheel Hub Bearing Failure, Tractor drive train makes noise when driving. ," Diagnose noise in r.h. front final drive, bearing failure. ", DRove tRactoR to locate noise. Isolated noise to R.F. final dRive. Remove fRont duals. Disassembled final dRive. Found one of the be aRings was making a gRowling noise. Remove both beaRings and cups in hub. Install new seal. Reassemble Right final dRive. Reinstall tiRes. clean up RepaiR aRea. Test dRive tRactoR to check foR dRive tRain noise - none heaRd.
Wheel Hub Bearing Failure,"  SEG-1. ONE OF THE MFWD/ILS WHEEL SEALS IS LEAKING, CHECK AND REPAIR.WASHED OFF TRACTOR. REMOVED RH WHEELS AND FOUND BEARING LOOSEIN HUB. DISASSEMBLED RH HUB. REPLACED BEARING IN HUB AND ALL SEALS. THOROUGHLY WASHED ALL COMPONENTS FREE OF METAL CONTAMINATION. REPLACED PLANET PINION SHAFT AND BEARING RETAINER. TORQUED ALL WHEELS AFTER ASSEMBLY. CHANGED OIL IN LH OUTER HUB TO CHECK FORMETAL CONTAMINATION. OK.","  SEG-1. ONE OF THE MFWD/ILS WHEEL SEALS IS LEAKING, CHECK AND REPAIR.WASHED OFF TRACTOR. REMOVED RH WHEELS AND FOUND BEARING LOOSEIN HUB. DISASSEMBLED RH HUB. REPLACED BEARING IN HUB AND ALL SEALS. THOROUGHLY WASHED ALL COMPONENTS FREE OF METAL CONTAMINATION. REPLACED PLANET PINION SHAFT AND BEARING RETAINER. TORQUED ALL WHEELS AFTER ASSEMBLY. CHANGED OIL IN LH OUTER HUB TO CHECK FORMETAL CONTAMINATION. OK.","  epa fees,seRvice accessoRies,SEG-1. ONE OF THE MFWD/ILS WHEEL SEALS IS LEAKING, cHEcK AND REPAIR.WASHED OFF TRAcTOR. REMOVED RH WHEELS AND FOUND BEARING LOOSE IN HUB. DISASSEMBLED RH HUB. REPLAcED BEARING IN HUB AND ALL SEALS. THOROUGHLY WASHED ALL cOMPONENTS FREE OF METAL cONTAMINATION. REPLAcED PLANET PINION SHAFT AND BEARING RETAINER. TORQUED ALL WHEELS AFTER ASSEMBLY. cHANGED OILIN LH OUTER HUB TO cHEcK FOR METAL cONTAMINATION. OK."
Wheel Hub Bearing Failure,  Vorderachse rechts undicht,  zuviel Spiel der Radlager - Dichtring u ndicht,"  Rad Rechts ab-, angebaut, EndantRieb te ilweise zeRlegt, RadlageR und DichtRinge  eRneueRt."
Wheel Hub Bearing Failure,  CUSTOMER ADVISES OIL LEAKING FRONT LEFT FRONT AXLE SEAL,  Drive shaft to knuckle seals (RE160203 &amp; RE65592).,"  -dual wheel and 2 pc hub extension needed to be Removed, Reinstalled, and RetoRqued to access wheel hub. -Remove hub oil ujoint shaf t assembly to Remove and Replace seals -found oil veRy buRnt -Remove and Reinstall deluxe pivoting mud guaRd and inneR fRont weel -R emoved hub assembly to clean and inspect (found wheel beaRing and seals damaged fRom heat) -Reinstalled all hub extensions pieces an d both tiRes to dRive and RetoRque . Dissassemble, clean/inspect, and Replace as needed."
Wheel Hub Bearing Failure," LH ILS LEAK, POPPING NOISE ", BEARING/RACE LOOSE IN HUB KNOCKING SEALS OUT ," cHEcK ILS NOISE/LEAKREMOVED MFWD DUAL WHEEL & SPAcERDISASSEMBLED MFWD HUB & REPLAcED BEARINGS/RAcESREASSEMBLED WITH NEW SEALSDIS ASSEMBLED MFWD KNUcKLE, REPLAcED SEALS & BEARINGSREASSEMBLED, FILLED WITH OIL,REINSTALLED DUAL WHEEL & SPAcERWASHED OIL FROM REAP AIR AREA"
Wheel Hub Bearing Failure, MFWD hub leaking oil. , Failure of MFWD hub bearings. , Removed Right hand fendeR. Removed wheel. DRained final dRive oil. Unbolted planetaRy hub and Removed. Removed dRive geaR fRom shaft. Removed axle hub Retaining nut. Disassembled hub and found seal was scoRed up. Found hub beaRings loose. Removed beaRing cups fRom hub. cleaned hub shaft and Replaced all beaRings in the final dRives. Replaced axle seals. Reassembled fRont axle final dRive and filled with new oil. Test Ran tRactoR and checked foR leaks.
Wheel Hub Bearing Failure, FRONT ILS FINAL DRIVES LEAKING. , WHEEL BEARINGS IN ILS HUBS HAD FAILED. , DISASSEMBLE BOTH FINAL DRIVES. REPLAcE ALL BEARINGS AND SEALS. REASSEMBLE AND TORQUE PRELOAD TO SPEcIFIcATIONS. 
Wheel Hub Bearing Failure, FRONT HUB SEALS LEAKING , FAILED WHEEL BEARINGS , REPLAcE RIGHTHAND AND LEFTHAND FRONT HUB BEARINGS & SEALS.
Wheel Hub Bearing Failure, 7. The right hand front wheel bearings are loose. , The pre-load on the bearings was not set properly. , -i Removed the RH tiRes and hub-i toRqued the beaRings-installed the hub-installed the tiRes
Tie Rod Failure, customer complained that universal joint is coming apart , failed part number r550572 ," Remove dual fRont wheel and extension to gain access to the knuckle. Raise and suppoRt tRactoR. Remove:fendeR,wheel, dRiveshaft, hubassembly Remove ball joint cap Retaining cap scRews. Remove ball joint fRom knuckle housing. Remove:Retaining spRings, boots,snap Ring Remove and Replace ball joint. Adjust toe-in. Assemble in ReveRse oRdeR."
Tie Rod Fastener Loose,  Complaint: Left hand side tyre has excessive wear.,  Cause: Tie rod retaining bolts were loose on left hand side causing tie rod to rotate.,  coRRection: check tyRe weaR. DRain suspension & sit on axle stands. centRe steeRing. check Rim Run out. MeasuRe toe in & centeRing - Left hand side had excessive toe in as tie Rod bolts weRe loose causing tie Rod to Rotate. Adust & Recheck - Ok. Submit DTAccase (Dtac case numbeR 12546059) atach pictuRes of tyRe to case. Replace tyRe.Total labouR houRsDiagnostic: 1.0 RepaiR: 1.0OtheR:
Tie Rod Poor Performance, TIE ROD END SEPERATED ," OUTER TIE ROD END (RE216822) LOOSE ON INNER TIE ROD(RE565194). BOLTS (19M7361) THAT TIGHTEN OUTER END ON INNER TIE ROD, CAME LOOSE.ALLOWED OUTER TIE ROD TO PULL OVER THE THREADS OF INNER TIE ROD. DAMAGED THREADS ON INNER TIE ROD. ", cLEANED AND INSPEcTED REPLAcED INNER TIE ROD END. REASSEMBLED ALL STEERING cOMPONENTS. ALIGNED FRONT END AccORDINGLY.
Tie Rod Poor Performance, EXCESSIVE SLACK IN STEERING , BOLTS ON TIE ROD BECAME LOOSE CAUSING EXCESSIVE WEAR ON HOUSING , KEY PART #: R550572FAILURE DATE: 1/29/2015DOWNTIME: LESS THAN A WEEKFAILURE MODE: GROOVEDFAILURE AREA: KNUcKLEcORREcTION: DIAG TIME .50 HOURScHEcKED AND FOUND HOUSING DAMAGED DUE TO BOLTS cOMING LOOSEREPAIR TIME 7.50 HOURSJAcKED UP FRONT END REMOVED INN ER AND OUTER DUAL AND SPAcERDRAINED OIL DISASSEMBLED HUB REMOVED TIE ROD AND KING PINSREMOVED HOUSING REPLAcED PARTS NEEDEDINS TALLED PARTS IN REVERSERAN IN
Tie Rod Poor Performance,  The customer called and complained that the tractor was pigeon toed.,  The left side tie rod end pinch bolts did not stay tight allowing the wheel to become pigeon toed.,  DRove out to the customeR's field then inspected the pinch bolts foR the Right and left tie Rods. Found that the left side tie Rod end pinch bolts weRe loose allowing the wheel to become pigeon toed. Jacked the fRont of the tRactoR up to be able to pivot the wheels back into position. Readjusted then set the toe and tightened the haRdwaRe to spec. Made suRe the Right side haRdwaRe was still tight to spec. LoweRed the tRactoR then test dRove and Rechecked the haRdwaRe. Found that the haRdwaRe stayed tight afteR the RepaiRs weRe made.
Tie Rod Poor Performance, CHECK AND REPAIR TIE ROD BROKEN. , CHECKED AND FOUND ON LEFT SIDE BROKEN ," REMOVED DUALS AND EXTENSION, REMOVED INNER WHEEL. DISASSEMBLED WHEEL HUB AND REMOVED cASTING FOR WHEEL ASSY. INSTALLED NEW KNUcKLE,TIE ROD, AND SEALS. REPLAcED TIE ROD FOR RIGHT SIDE ALSO "
Tie Rod Poor Performance, SERVICE CALL TO READJUST TIE ROD/TOE IN ON THE TIE ROD THAT WAS REPLACEDTechnician Comments: toe in was not right after replacementof tie rod. Had to make adjustments. , BAD TIE ROD CAUSING TOE-IN PROBLEMS. , DIAGNOSETechnician comments:AfteR checking and finding toe -in not coRRect I could not do toe- in adjustment in the field afteR Replacing with new one. Set unit on concRete and adjusted toe-in to coRRect spec.
Tie Rod Poor Performance, LH SPINDLE DAMAGED , IMPROPER INSTALLATION OF TIE ROD ," GeneRal RepaiRsTechnician comments: SET MAcHINE ON STANDS AND REMOVED LH OUTTER DUAL, SPAcERS AND INNER DUAL. DRAINED HUB, REMOVED DRIVESHAFT, SUSPENSION cYLINDER, AND HUB ASSEMBLY. REMOVED UPPER AND LOWER cONTROL ARMS AND REMOVED KNUcKLE ASSEMBLY. cHEcKED ALL B ALL JOINTS AND INSTALLED NEW KNUcKLE ASSEMBLY. REINSTALLED DRIVELINE AND KNUcKLE ASSEMBLY. INSTALLED TIE ROD END AND TORQUED. PUT NE W GEAR OIL IN HUB AND REINSTALLED INNER DUAL, SPAcERS AND OUTTER DUALS. DROVE MAcHINE AND cHEcKED FOR LEAKS."
Tie Rod Poor Performance,  MUD GUARD & FAN NOISE,  Broken bolts.,  Removed damaged/bRoken bolts- installed  mud guaRd bRackets - install mud guaRd.  checked - ok.
Tie Rod Poor Performance, tire got into muffler cover. , tie rod clamp bolt were loose.causing tie rod to screw out and hit muffler cover. , dRive tRactoR and check fRont end.check toe in.found the tRactoR was toe in five inch.when i staRted to set toe in I found the clampbolt weRe loose.I set the toe in AND tighten clamp bolts.
Tie Rod Poor Performance, Tractor is not auto tracking straight wi th the power hiller running., Bolt going through tie rod end clamp was  missing and the other was loose., ReaR tiRes aRe going Roughly an inch off  of what the fRont tiRes aRe going with the hilleR in the gRound (monitoR shows that we aRe going stRaight with 0 inch offset). With  the hilleR out of the gRound the tRacto R Runs stRaight. Looked up codes and did n't find any thing. SeaRched thRough dtac solutions a nd didn't find any peRtaining to this is sue. checked toe in of tRactoR. Toe in w as out almos t an inch. Noticed that bolt going thRou gh tie Rod end clamp was missing and the  otheR was veRy loose. Adjust toe in of tRactoR to s pec. TRied tRactoR again and it woRked f ine.
Tie Rod Poor Performance, Left hand steering rod came apart. , Tech inspected tractor and found bolts came loose on tie rod allowing it to come apart. ," Tech Reassembled tie Rod, adjusted, and tighten toe in adjusteR. RecalibRated ssu because autotRac was dRifting afteR toe in Reset."
Tie Rod Poor Performance,  TOE -IN SEEMS TO BE TOO MUCH,  THIS WAS DUE TO IMPROPER ASSEMBY,"  -FOUND TOE IN TO BE 8 INcHES -FOUND LOcKING BOLTS LOOSE - ADJUSTED TOE IN -TIGHTENED LOcKING BOLTS -cHEcKED OPERATION, OK <K=19M7361"
Tie Rod Poor Performance,  Front wheels toed in and the tie rods are loose,  Bolts in tie rods gone,  Looked at tie Rods and saw that they had tuRned themselves out. Adjusted toe in and installed new bolts. ToRqued bolts to spec.
Tie Rod Poor Performance,  CUSTOMER CALLED AND SAID THE TOE IN WAS OFF.,"  TECH WENT TO TRACTOR AND THE LEFT TIE ROD BOLTS (19M7361) WERE LOOSE, ALLOWING TIE ROD TO UNSCREW.",  ADJUSTED TOE IN. TIGHEN BOLTS. THIS WAS NOT PROPERLY TIGHTENED AT FAcTORY.
Tie Rod Poor Performance, CHECK AND ADJUST TOE IN AS REQUIRED , NOT TORQUED FROM FACTORY , MeasuRed toe on fRont wheels & found it towed in 1 inch. Adjusted toe to be stRaight foRwaRd to slightly toed in.
Tie Rod Poor Performance, Customer conerned that unit has a lot of  toe in.Tech Notes: Went to customer to address concern over a lot of toe in. Ha d to adjust  the tie rod re216822 on the left hand s ide out 1.5 inches due to bolts 19m7361 working themsleves loose. Afte adjustmen ts ran unit.  Toe in problem was resolved., Customer conerned that unit has a lot of  toe in.Tech Notes: Went to customer to address concern over a lot of toe in. Ha d to adjust  the tie rod re216822 on the left hand s ide out 1.5 inches due to bolts 19m7361 working themsleves loose. Afte adjustmen ts ran unit.  Toe in problem was resolved., customeR coneRned that unit has a lot of  toe in.Tech Notes: Went to customeR to addRess conceRn oveR a lot of toe in. Ha d to adjust  the tie Rod Re216822 on the left hand s ide out 1.5 inches due to bolts 19m7361 woRking themsleves loose. Afte adjustmen ts Ran unit.  Toe in pRoblem was Resolved.
Tie Rod Poor Performance,  General Repairs--tie rod loose,  left loose at the factory,  Repostion LH tie Rod and RetoRque hdwe 19m7361
Tie Rod Poor Performance,"  #1) SERVICE CALL, REPAIR TOE IN LOOKS WAY OFF AND RIM IS HITTING THE FRONT AXLE",  CAUSE - BOLTS CAME LOOSE AND TIE ROD WALKED OUT.,"  #1) SERVIcE cALL, REPAIR TOE IN LOOKS WAY OFF AND RIM IS HITTING THE FRONT AXLEcAUSE - BOLTS cAME LOOSE AND TIE ROD WALKED OUT.I NSIDE OF RIGHT RIM IS ATE UP FROM RUBBING. FOUND TWO 18 MM BOLTS THAT LOcK TIE ROD WERE LOOSE AND TIE ROD STARTED WALKING OUT TO THE POINT IT WOULD NOT TURN LEFT VERY GOOD AT ALL. SO READJUSTED THE TIE ROD AND LOcKED THE BOLTS. REcHEcKED BOLTS ON LEFT SIDE ALSO. H AD THEM TRY IT AND cUSTOMER SAID YOU REALLY HAD TO WORK IT BAcK AND FORTH TO STAY ON THE ROW. PERFORMED A STEERING cALIBRATION. THEN IT WAS TOO WET TO TRY, WAITING FOR DRY cONDITIONS TO TEST."
Tie Rod Poor Performance," Before delivery, after unit was sold, found the left front inner rim to be damaged at the bead (photos attached). "," Determined, when left front tie rod end bolts (19M7361) backed out from unknown cause, allowing the unit not to track properly (claim #104353496), the inner rim made contact with the left lower control arm #R537611 whichdamaged the rim bead (photos attached). This was not noticed at the time due to that repair being made in the field and customer adamant that the unit be gotten up and running during planting time as quickly as possible. ", Removed inneR tiRe assembly. contacted local tiRe dealeR (Wilson TiRe invoice- $232.00) to have Rim Removed fRom tiRe and new Rim installed on tiRe. Reinstalled inneR and outeR tiRe assembly. ToRqued wheels to specs.
Tie Rod Poor Performance,  Customer complained the unit was not tracking correctly as if the alignment was off,  LH tie rod end bolts backed out from unknown cause,"  DRove to customeRs. Test dRove to confiRm customeRs complaint. Inspected unit. Found LH tie Rod end bolts had backed out, fRom unknown cause, causing the outeR tie Rod end to loosen up. Jacked up left side of unit. Adjusted tie Rod to obtain pRopeR alignment. Reinstalled bolts in outeRtie Rod end. ToRqued. Test dRove unit. Rechecked toe in. Test Ran o.k."
Tie Rod Poor Performance, PROBLEM WITH LEFT HAND INNER TIE ROD, THIS WAS DUE TO IMPROPER ASSEMBLY SEE DT AC SOLUTION 67817," -PULL BOOT BAcK -NO GREASE -PUT GREASE A ROUND BOOT BEARING -cHEcK RIGHT HAND SID E, OK &lt;K=R216826"
Differential retaining bolt failure,  FOUR WHEEL DRIVE NOT WORKING.,  FOUR WHEEL DRIVE NOT WORKING,  WASHED UNIT AND DROVE UNIT. FOUR WHEEL DRIVE NOT WORKING. BROUGHT INTO SHOP cHEcKED FOR cODES. NO cODES. ELEcTRIcAL SIDE OF SYSTEM WORKING PROPERLY. REMOVED FRONT TIRES AND HUB ASSYS TO INSPEcT FOUND NO PROBLEMS. PREFORMED PRESSURE TESTES AND NO PROBLEMS FOUND FORcLUTcH. SUSPEcTED DAMAGED SHAFT OR cOUPLER. REMOVED LEFT HAND ILS SYSTEM AND PULLED THE RING GEAR ASSY OUT PER SERVIcE ADVISOR INSTRUcTIONS. FOUND THE BOLT ON THE HOUSING HAD cOME LOOSE AND SOME WERE BROKEN OFF. REMOVED THE BROKEN BOLT FROM RING GEAR AND INSPEcTED. RAN A TAP THROUGH BOLT HOLES. PUT IN NEW BOLTS AND TORKED TO SPEc. REINSTALLED RING GEAR FRONT END ILS. INSPEcTED PINION AND ITSEEMED TO BE LOOSE. HAD TO SPLIT UNIT TO cHEcK PRELOAD. SPLIT UNIT FOLLOWING SERVIcE ADVISOR INSTRUcTIONS. AND FOUND THE PINION BOLTWAS LOOSE ALSO.TORK UNIT BAcK TO SPEc PER SERVIcE ADVISOR INSTRUcTIONS. PUSHED UNIT BAcK TOGETHER AND FILLED WITH OIL . REFILLED ILS AND cALIBRATED. RAN UNIT AND TESTED. NOW FOUR WHEEL DRIVE WORKING.
Differential retaining bolt failure, NOISE COMING FROM FRONT AXLE ," INSPECT FRONT AXLE, FOUND L.H. OUTER AXLE CV FAILED. FOUND THAT MFWD DID NOT WORK. AFTER DISASSEMBLE FOUND THAT BOLTS IN FRONT DIFFERENTAIL HAD BROKE OFF RING GEAR. "," RAN UNIT, MFWD WOULD ONLY WORK WHEN DIFF-LOcK WAS ENGAGED, cHEcKED DRIVELINES, READ THREW THEORY OF OPERATIONS, TRIED TO RAISE REAROF TRAcTOR, cOULD NOT JAcK, KEPT LEAKING OFF, DRAINED LITTLE FLUID OUT OF FRONT DIFF WAS FULL OF METAL.BROUGHT IN THE SHOP, JAcKEDUP, AND TOOK OFF OUTSIDE AND SIDE TIRE. REMOVE cENTER PLUG, TOOK OUT THE RETAINING BOLT, AND TOOK OFF DRIVE. INSTALL NEW DRIVE LINE WITH U-JOINT AND SEALS. cHANGED OILIN MFWD OUTBOARD PLANETARY . REINSTALL WHEELS. cALIBRATED FRONT AXLE.JAcKED TRAcTOR UP, cHEcKED FRONT MFWD. TIRE, ONLY ONE SIDE WOULD ROTATE. INDIcATING THAT THERE IS A PROBLEM WITH THE FRONT DIFFERENTIAL. REMOVED LEFT SIDEDUAL TIRES AND FENDER. REMOVED LEFT SIDE SUSPENSION SENSOR. REMOVED LEFT SIDE SUSPENSION cYLINDER. REMOVED LEFT SIDE DRIVE SHAFT. REMOVED LEFT SIDE STEERING ROD. REMOVED LOWER LEFT SUSPENSION ARM. RAISED LEFT SIDE SUSPENSION SYSTEM OUT OF THE WAY. REMOVED DIFF cOVER. REMOVED DIFF. ALL 12 BOLTS HOLDING THE RING GEAR ASSEMBLY WERE BROKE OFF. DAMAGE WAS cONFINED TO THE cLUTcH PLATES AND SPIDER GEAR HOUSING. INSTALLED NEW HOUSING, cLUTcH PLATES AND BOLTS. REINSTALLED DIFF AND DIFF cOVER. REASSEMBLED SUSPENSION SYSTEM. FILLEDFINAL DRIVE. FILLED TRANSMISSION. TESTED MFWD SYSTEM."
